+----------------------------------------------------------------------------+
| Statistics from last 100 episodes:                                         |
|----------------------------------------------------------------------------|
| Episodes   | Time       | Mean Score     | Mean Max Tile  | Max Tile       |
|      17400 |     167.54 |       14936.03 |         983.04 |           2048 |
|      17500 |     201.01 |       14949.89 |        1187.84 |           2048 |
|      17600 |     168.63 |       14953.49 |        1031.68 |           2048 |
|      17700 |     166.42 |       14956.74 |        1085.44 |           2048 |
|      17800 |     179.31 |       14969.97 |        1187.84 |           4096 |
|      17900 |     198.28 |       14981.55 |        1172.48 |           2048 |
|      18000 |     168.29 |       14985.33 |        1003.52 |           2048 |
Model saved to td_agent_episode_ft18000.pkl
|      18100 |     287.82 |       14988.31 |        1003.52 |           2048 |
|      18200 |     173.92 |       14996.46 |        1113.60 |           2048 |
|      18300 |     174.15 |       15004.01 |        1098.24 |           2048 |
|      18400 |     165.43 |       15004.55 |        1011.20 |           2048 |
|      18500 |     171.99 |       15011.48 |        1095.68 |           2048 |
|      18600 |     164.81 |       15013.24 |        1013.76 |           2048 |
|      18700 |     185.43 |       15016.59 |        1070.08 |           2048 |
|      18800 |     166.64 |       15019.75 |        1021.44 |           2048 |
|      18900 |     161.35 |       15019.25 |        1021.44 |           2048 |
|      19000 |     141.13 |       15018.25 |         980.48 |           2048 |
Model saved to td_agent_episode_ft19000.pkl
|      19100 |     300.11 |       15018.16 |        1008.64 |           4096 |
|      19200 |     168.46 |       15021.36 |        1047.04 |           2048 |
|      19300 |     140.95 |       15020.24 |         993.28 |           2048 |
|      19400 |     166.93 |       15023.75 |        1057.28 |           2048 |
|      19500 |     199.49 |       15034.81 |        1123.84 |           2048 |
|      19600 |     178.32 |       15045.13 |        1121.28 |           4096 |
|      19700 |     170.16 |       15049.07 |        1024.00 |           2048 |
|      19800 |     164.37 |       15050.05 |        1029.12 |           4096 |
|      19900 |     191.25 |       15059.31 |        1141.76 |           4096 |
|      20000 |     173.54 |       15062.58 |        1075.20 |           2048 |
Model saved to td_agent_episode_ft20000.pkl
|      20100 |     292.73 |       15066.50 |        1059.84 |           2048 |
|      20200 |     174.43 |       15073.23 |        1089.28 |           4096 |
|      20300 |     169.97 |       15076.90 |        1085.44 |           2048 |
|      20400 |     175.50 |       15084.64 |        1128.96 |           2048 |
|      20500 |     174.81 |       15092.37 |        1105.92 |           4096 |
|      20600 |     167.22 |       15093.79 |        1000.96 |           2048 |
|      20700 |     169.31 |       15096.80 |        1048.32 |           2048 |
|      20800 |     163.11 |       15096.03 |         990.72 |           2048 |
|      20900 |     199.66 |       15105.11 |        1141.76 |           2048 |
|      21000 |     183.26 |       15116.36 |        1130.24 |           2048 |
Model saved to td_agent_episode_ft21000.pkl
|      21100 |     300.88 |       15121.76 |        1077.76 |           2048 |
|      21200 |     182.22 |       15131.72 |        1095.68 |           2048 |
|      21300 |     187.80 |       15146.39 |        1192.96 |           4096 |
|      21400 |     165.16 |       15146.04 |         995.84 |           2048 |
|      21500 |     183.21 |       15156.41 |        1149.44 |           2048 |
|      21600 |     169.56 |       15159.97 |        1095.68 |           2048 |
|      21700 |     172.24 |       15165.07 |        1080.32 |           2048 |
|      21800 |     196.55 |       15171.69 |        1088.00 |           2048 |
|      21900 |     163.25 |       15171.09 |        1034.24 |           2048 |
|      22000 |     180.36 |       15180.75 |        1172.48 |           4096 |
Model saved to td_agent_episode_ft22000.pkl
|      22100 |     291.56 |       15180.84 |         998.40 |           4096 |
|      22200 |     173.67 |       15185.89 |        1077.76 |           2048 |
|      22300 |     189.33 |       15190.80 |        1095.68 |           2048 |
|      22400 |     193.90 |       15204.74 |        1213.44 |           2048 |
|      22500 |     176.37 |       15211.47 |        1108.48 |           4096 |
|      22600 |     179.46 |       15220.04 |        1157.12 |           2048 |
|      22700 |     164.59 |       15218.69 |         977.92 |           2048 |
|      22800 |     176.47 |       15224.35 |        1108.48 |           2048 |
|      22900 |     176.47 |       15230.22 |        1118.72 |           2048 |
